Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=016360,2020.11.17,"38,800",550,+1.44%,"880,784","-3,094","-19,522","23,123,456",25.89%
https://finance.naver.com/item/frgn.nhn?code=055550,2020.11.23,"33,950",450,+1.34%,"2,669,924","+304,482","+372,940","299,319,633",57.95%
https://finance.naver.com/item/frgn.nhn?code=055550,2020.11.20,"33,500",250,+0.75%,"1,708,598","-79,188","+188,457","298,946,693",57.88%
https://finance.naver.com/item/frgn.nhn?code=055550,2020.11.19,"33,250",250,-0.75%,"2,483,717","-174,076","-448,877","298,799,047",57.85%
https://finance.naver.com/item/frgn.nhn?code=055550,2020.11.18,"33,500",150,+0.45%,"2,167,201","-188,168","+243,251","299,230,410",57.93%
https://finance.naver.com/item/frgn.nhn?code=055550,2020.11.17,"33,350",150,+0.45%,"3,167,675","-162,203","-113,937","298,938,558",57.87%
https://finance.naver.com/item/frgn.nhn?code=281820,2020.11.23,"25,150",400,+1.62%,"285,775","+77,340","+13,957","1,969,124",9.93%
https://finance.naver.com/item/frgn.nhn?code=281820,2020.11.20,"24,750",250,+1.02%,"220,812","-4,508","+18,205","1,955,167",9.86%
https://finance.naver.com/item/frgn.nhn?code=281820,2020.11.19,"24,500",450,+1.87%,"199,012","-8,447","+46,642","1,936,962",9.76%
https://finance.naver.com/item/frgn.nhn?code=281820,2020.11.18,"24,050",650,-2.63%,"291,431","-90,571","+18,061","1,890,320",9.53%
https://finance.naver.com/item/frgn.nhn?code=281820,2020.11.17,"24,700","1,000",-3.89%,"474,282","-47,017","-72,149","1,872,259",9.44%
https://finance.naver.com/item/frgn.nhn?code=009420,2020.11.23,"36,200",350,-0.96%,"363,252","+12,383","-14,187","3,638,894",6.97%
https://finance.naver.com/item/frgn.nhn?code=009420,2020.11.20,"36,550",450,-1.22%,"638,112","-1,949","-30,272","3,653,081",6.99%
https://finance.naver.com/item/frgn.nhn?code=009420,2020.11.19,"37,000","1,600",+4.52%,"1,100,098","+117,178","+109,100","3,682,377",7.05%
https://finance.naver.com/item/frgn.nhn?code=009420,2020.11.18,"35,400",100,+0.28%,"529,231","+58,097","-32,317","3,571,874",6.84%
https://finance.naver.com/item/frgn.nhn?code=009420,2020.11.17,"35,300",850,+2.47%,"396,843","+43,371","+11,755","3,605,109",6.90%
https://finance.naver.com/item/frgn.nhn?code=204320,2020.11.23,"45,700","1,500",+3.39%,"732,690","+36,113","+147,913","11,246,030",23.95%
https://finance.naver.com/item/frgn.nhn?code=204320,2020.11.20,"44,200",100,+0.23%,"547,512","-20,092","-17,228","11,098,117",23.63%
https://finance.naver.com/item/frgn.nhn?code=204320,2020.11.19,"44,100","1,100",+2.56%,"1,146,089","+115,282","-1,558","11,114,449",23.67%
https://finance.naver.com/item/frgn.nhn?code=204320,2020.11.18,"43,000",50,+0.12%,"686,550","-90,328","-13,339","11,114,719",23.67%
https://finance.naver.com/item/frgn.nhn?code=204320,2020.11.17,"42,950","1,550",-3.48%,"1,269,357","-135,445","-98,163","11,128,898",23.70%
https://finance.naver.com/item/frgn.nhn?code=001430,2020.11.23,"11,000",750,+7.32%,"498,647","+51,201","+52,539","3,380,073",9.43%
https://finance.naver.com/item/frgn.nhn?code=001430,2020.11.20,"10,250",0,0.00%,"63,299","-4,527","+4,386","3,327,534",9.28%
https://finance.naver.com/item/frgn.nhn?code=001430,2020.11.19,"10,250",100,-0.97%,"71,802",+701,"-16,651","3,323,812",9.27%
https://finance.naver.com/item/frgn.nhn?code=001430,2020.11.18,"10,350",50,-0.48%,"116,301",-427,"-2,266","3,339,980",9.31%
https://finance.naver.com/item/frgn.nhn?code=001430,2020.11.17,"10,400",150,+1.46%,"246,529","+28,044","+1,070","3,342,561",9.32%
https://finance.naver.com/item/frgn.nhn?code=017960,2020.11.23,"11,900",650,+5.78%,"3,953,972","+15,484","+277,085","9,149,809",20.81%
https://finance.naver.com/item/frgn.nhn?code=017960,2020.11.20,"11,250",400,+3.69%,"1,108,023","-110,993","+226,488","8,872,724",20.18%
https://finance.naver.com/item/frgn.nhn?code=017960,2020.11.19,"10,850",500,-4.41%,"1,751,909","-328,844","+127,783","8,648,236",19.67%
https://finance.naver.com/item/frgn.nhn?code=017960,2020.11.18,"11,350",350,-2.99%,"1,393,639","-414,740","+229,231","8,518,453",19.38%
https://finance.naver.com/item/frgn.nhn?code=017960,2020.11.17,"11,700",200,+1.74%,"1,643,642","-8,563","+189,591","8,290,222",18.86%
https://finance.naver.com/item/frgn.nhn?code=071050,2020.11.23,"76,100","1,300",+1.74%,"486,884","+20,050","+48,680","17,071,644",30.63%
https://finance.naver.com/item/frgn.nhn?code=071050,2020.11.20,"74,800",800,+1.08%,"284,451","-20,284","-4,354","17,022,964",30.55%
https://finance.naver.com/item/frgn.nhn?code=071050,2020.11.19,"74,000","1,500",-1.99%,"341,142","-39,859","-18,509","17,026,198",30.55%
https://finance.naver.com/item/frgn.nhn?code=071050,2020.11.18,"75,500",100,-0.13%,"321,035","-6,493","+8,230","17,043,097",30.58%
https://finance.naver.com/item/frgn.nhn?code=071050,2020.11.17,"75,600","1,600",-2.07%,"602,841","-77,818","-93,365","17,035,917",30.57%
https://finance.naver.com/item/frgn.nhn?code=108380,2020.11.23,"16,400","1,050",+6.84%,"347,627","+45,103","+33,456","185,016",1.93%
https://finance.naver.com/item/frgn.nhn?code=108380,2020.11.20,"15,350",300,-1.92%,"88,449","-2,006","-26,036","151,560",1.58%
https://finance.naver.com/item/frgn.nhn?code=108380,2020.11.19,"15,650",450,-2.80%,"82,439",-308,"-7,827","177,596",1.86%
https://finance.naver.com/item/frgn.nhn?code=108380,2020.11.18,"16,100",250,+1.58%,"255,198","-4,192","-28,325","185,423",1.94%
