Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=278280,2020.05.22,"76,600",900,-1.16%,"148,904","-15,570","+10,914","373,339",3.73%
https://finance.naver.com/item/frgn.nhn?code=278280,2020.05.21,"77,500",200,+0.26%,"194,087","+46,780",+579,"362,401",3.62%
https://finance.naver.com/item/frgn.nhn?code=278280,2020.05.20,"77,300","1,900",+2.52%,"190,590","+56,243","-11,750","363,336",3.63%
https://finance.naver.com/item/frgn.nhn?code=278280,2020.05.19,"75,400","4,100",+5.75%,"268,169","+45,183","-4,108","374,819",3.75%
https://finance.naver.com/item/frgn.nhn?code=009150,2020.05.25,"120,000","1,000",+0.84%,"420,201","+26,021","-35,470","23,479,298",31.43%
https://finance.naver.com/item/frgn.nhn?code=009150,2020.05.22,"119,000","3,500",-2.86%,"688,492","-112,972","-69,466","23,514,768",31.48%
https://finance.naver.com/item/frgn.nhn?code=009150,2020.05.21,"122,500","1,000",-0.81%,"574,351","-45,052","+17,082","23,584,234",31.57%
https://finance.naver.com/item/frgn.nhn?code=009150,2020.05.20,"123,500",0,0.00%,"417,285",+882,"-18,865","23,566,672",31.55%
https://finance.naver.com/item/frgn.nhn?code=009150,2020.05.19,"123,500",500,+0.41%,"603,144","+10,793","-17,191","23,584,961",31.58%
https://finance.naver.com/item/frgn.nhn?code=009540,2020.05.25,"83,800","3,900",+4.88%,"738,132","+108,214","+136,877","11,569,117",16.35%
https://finance.naver.com/item/frgn.nhn?code=009540,2020.05.22,"79,900","2,300",-2.80%,"372,013","-64,448","-60,982","11,432,240",16.15%
https://finance.naver.com/item/frgn.nhn?code=009540,2020.05.21,"82,200","1,900",+2.37%,"362,493","-35,602","+77,046","11,493,222",16.24%
https://finance.naver.com/item/frgn.nhn?code=009540,2020.05.20,"80,300","1,100",-1.35%,"219,398","-26,997","-19,137","11,415,766",16.13%
https://finance.naver.com/item/frgn.nhn?code=009540,2020.05.19,"81,400","3,000",+3.83%,"489,426","+114,061","+86,580","11,434,411",16.16%
https://finance.naver.com/item/frgn.nhn?code=018250,2020.05.25,"25,550",300,-1.16%,"89,902",+87,"+6,214","583,469",2.21%
https://finance.naver.com/item/frgn.nhn?code=018250,2020.05.22,"25,850",700,-2.64%,"110,031","-1,961","-14,840","577,255",2.19%
